URI,wareki,year
nij02-nijl_nijl_nijl_azumakagami_0000033836,建長六年閏五月一日,C.E. 1254-06-17
nij02-nijl_nijl_nijl_azumakagami_0000029126,寛元五年二月一日,C.E. 1247-03-09
nij02-nijl_nijl_nijl_azumakagami_0000010340,建久元年四月十八日,C.E. 1190-05-23
nij02-nijl_nijl_nijl_azumakagami_0000033047,建長四年十二月十七日,C.E. 1253-01-18
nij02-nijl_nijl_nijl_azumakagami_0000038231,弘長元年六月二十一日,C.E. 1261-07-19
nij02-nijl_nijl_nijl_azumakagami_0000001276,治承四年十二月十九日,C.E. 1181-01-06
nij02-nijl_nijl_nijl_azumakagami_0000002529,寿永三年二月二十日,C.E. 1184-04-02
nij02-nijl_nijl_nijl_azumakagami_0000037775,文応二年正月三日,C.E. 1261-02-03
nij02-nijl_nijl_nijl_azumakagami_0000015798,建仁元年四月六日,C.E. 1201-05-09
nij02-nijl_nijl_nijl_azumakagami_0000023132,寛喜三年十二月二十六日／二十八日条別巻,C.E. 1232-01-19
nij02-nijl_nijl_nijl_azumakagami_0000014168,建久六年二月二日,C.E. 1195-03-15
nij02-nijl_nijl_nijl_azumakagami_0000042411,補遺・貞永元年閏九月二十六日,
nij02-nijl_nijl_nijl_azumakagami_0000012845,建久三年十一月二十九日,C.E. 1193-01-04
nij02-nijl_nijl_nijl_azumakagami_0000032261,建長四年四月五日,C.E. 1252-05-14
nij02-nijl_nijl_nijl_azumakagami_0000021336,承久三年六月十八日,C.E. 1221-07-09
nij02-nijl_nijl_nijl_azumakagami_0000020068,建保五年五月十一日,C.E. 1217-06-16
nij02-nijl_nijl_nijl_azumakagami_0000042097,補遺・寛喜二年十二月二十九日,
nij02-nijl_nijl_nijl_azumakagami_0000015441,正治二年二月二十六日,C.E. 1200-03-12
nij02-nijl_nijl_nijl_azumakagami_0000023261,貞永元年八月十日,C.E. 1232-08-27
nij02-nijl_nijl_nijl_azumakagami_0000032554,建長四年七月八日,C.E. 1252-08-14
nij02-nijl_nijl_nijl_azumakagami_0000037160,正元二年四月三日,C.E. 1260-05-14
nij02-nijl_nijl_nijl_azumakagami_0000034980,康元二年二月二日,C.E. 1257-02-17
nij02-nijl_nijl_nijl_azumakagami_0000005174,文治二年正月三日,C.E. 1186-01-25
nij02-nijl_nijl_nijl_azumakagami_0000026534,仁治元年十二月十六日,C.E. 1241-01-29
nij02-nijl_nijl_nijl_azumakagami_0000029843,宝治元年十二月十日,C.E. 1248-01-07
nij02-nijl_nijl_nijl_azumakagami_0000028152,寛元二年八月十六日,C.E. 1244-09-19
nij02-nijl_nijl_nijl_azumakagami_0000018031,承元四年十月十二日,C.E. 1210-10-31
nij02-nijl_nijl_nijl_azumakagami_0000004856,文治元年十一月十一日,C.E. 1185-12-04
nij02-nijl_nijl_nijl_azumakagami_0000034616,建長八年八月八日,C.E. 1256-08-29
nij02-nijl_nijl_nijl_azumakagami_0000016594,建仁三年十月二十五日,C.E. 1203-11-30
nij02-nijl_nijl_nijl_azumakagami_0000018508,建暦二年九月二十一日,C.E. 1212-10-17
